symbol,state_key,state,horizon,n,mean,median,directional_hit_rate,baseline_mean,baseline_directional_hit_rate,mean_excess_vs_all_days,worst,best,mean_ci95_lo,mean_ci95_hi
IREN,trend_start,趋势启动,5,23,0.0429467417791557,0.043325043115013395,0.6086956521739131,0.026756303447749794,0.49748237663645517,0.016190438331405908,-0.15789476042922157,0.41578952156605875,-0.014582668959995115,0.10141811168944605
IREN,trend_start,趋势启动,10,23,0.04252863968872925,0.033582056689353434,0.5217391304347826,0.053546295045019385,0.5192307692307693,-0.011017655356290137,-0.231888915914359,0.3468795229026138,-0.022102082308393514,0.10729992255305797
IREN,trend_start,趋势启动,20,22,0.12132087348697182,0.046720942535463994,0.5454545454545454,0.11443411585211631,0.5470347648261759,0.006886757634855509,-0.4691259227104724,1.3131579137244715,-0.04393444577024409,0.30614174991148985
IREN,trend_start,趋势启动,60,21,0.1593711274895707,-0.0313442879890089,0.47619047619047616,0.3919117982973258,0.6204690831556503,-0.23254067080775512,-0.8021697581659656,1.491039392218906,-0.11064569032086478,0.4286102444579378
IREN,second_start,二次启动,5,35,0.03682187634166449,0.033248075246957054,0.5714285714285714,0.026756303447749794,0.49748237663645517,0.010065572893914698,-0.346923094529372,0.46499999364217115,-0.025828524782773463,0.10089493837728689
IREN,second_start,二次启动,10,35,0.04377344341851985,0.05426360815665099,0.5428571428571428,0.053546295045019385,0.5192307692307693,-0.009772851626499532,-0.415204691408287,0.46280997837868054,-0.03511430878347618,0.11736769672942082
IREN,second_start,二次启动,20,34,0.16212766485941105,0.06781352942203434,0.5588235294117647,0.11443411585211631,0.5470347648261759,0.047693549007294736,-0.4461538608257587,1.267581550605755,0.019894604111115828,0.31495591236673065
IREN,second_start,二次启动,60,33,0.30605505292319707,-0.03294575219400542,0.48484848484848486,0.3919117982973258,0.6204690831556503,-0.08585674537412874,-0.6033172311546346,2.6729480466084095,0.035343680884260126,0.6081955490060801
IREN,trend_fade,趋势退潮,5,11,0.03083205958290882,-0.035502994057593495,0.5454545454545454,0.026756303447749794,0.4954682779456193,0.004075756135159026,-0.19122932254431257,0.5443037319792423,-0.07714657382196706,0.15882130808099876
IREN,trend_fade,趋势退潮,10,11,0.015148052489378257,-0.006928418335156228,0.5454545454545454,0.053546295045019385,0.47874493927125505,-0.03839824255564113,-0.2940330839290999,0.6028658253509072,-0.1104343154016905,0.1716700994749826
IREN,trend_fade,趋势退潮,20,11,-0.024257521955033834,-0.17494089981087713,0.6363636363636364,0.11443411585211631,0.450920245398773,-0.13869163780715016,-0.34763318075485294,0.8474921587866686,-0.17984723853217466,0.19440368598397945
IREN,trend_fade,趋势退潮,60,11,0.38542118058623526,-0.07582126001576583,0.5454545454545454,0.3919117982973258,0.3784648187633262,-0.006490617711090552,-0.5103550546288895,2.475946519274372,-0.1410614075678158,1.0481736216534603
NVDA,trend_start,趋势启动,5,26,0.008409197919706936,0.009063380183083836,0.5769230769230769,0.01436427244907216,0.596116504854369,-0.005955074529365225,-0.09160672031301498,0.13271047447062578,-0.009727253420936275,0.026423596124635858
NVDA,trend_start,趋势启动,10,26,0.019089288250754146,0.026872917360012738,0.6538461538461539,0.029013311252907955,0.6029268292682927,-0.009924023002153809,-0.1679338561443352,0.2327230934516673,-0.014699234300015882,0.052019600927030805
NVDA,trend_start,趋势启动,20,26,0.0323153502485467,0.015203587927366535,0.6153846153846154,0.06127433706723754,0.6660098522167488,-0.028958986818690843,-0.2785911315449249,0.4187994897792682,-0.03043564688653415,0.09767973002959862
NVDA,trend_start,趋势启动,60,24,0.13262802915800154,0.0646916651572339,0.6666666666666666,0.20976967133977908,0.7846153846153846,-0.07714164218177755,-0.40122669689305424,0.7999038443862116,0.006740589905242663,0.2565203035498248
NVDA,second_start,二次启动,5,46,0.01412853395687569,0.0070595904205909,0.5652173913043478,0.01436427244907216,0.596116504854369,-0.0002357384921964703,-0.10498129484127172,0.19893930029867368,-0.0024425246709266282,0.03178172617465564
NVDA,second_start,二次启动,10,45,0.028069282106220166,0.01051139570345816,0.5333333333333333,0.029013311252907955,0.6029268292682927,-0.0009440291466877894,-0.1697670225797987,0.30916155211323004,-0.0012771116901619404,0.05971652023963778
NVDA,second_start,二次启动,20,44,0.03931315398092097,0.007614693878807033,0.5,0.06127433706723754,0.6660098522167488,-0.021961183086316567,-0.30985193023716273,0.45142112047349703,-0.008075169290196558,0.0899072406348265
NVDA,second_start,二次启动,60,43,0.13359162820863346,0.07796815478200969,0.6046511627906976,0.20976967133977908,0.7846153846153846,-0.07617804313114562,-0.3816677718129806,0.798898364370797,0.04415800498493105,0.22289923968687053
NVDA,trend_fade,趋势退潮,5,18,0.027467074818642984,0.020212390386240342,0.3333333333333333,0.01436427244907216,0.40388349514563104,0.013102802369570824,-0.045812297419067005,0.1331711781902729,0.0032708112245148388,0.052408786701313874
